"","gene","Freq"
"35328","CLEC16A",7
"35335","CLEC2B",7
"35348","CLIC2",7
"35350","CLIC4",7
"35351","CLIC5",7
"35353","CLINT1",7
"35354","CLIP1",7
"35356","CLIP2",7
"35357","CLIP3",7
"35359","CLK1",7
"35364","CLMN",7
"35372","CLOCK",7
"35373","CLP1",7
"35375","CLPP",7
"35377","CLPTM1",7
"35379","CLPX",7
"35385","CLSTN3",7
"35386","CLTA",7
"35387","CLTB",7
"35388","CLTC",7
"35389","CLTCL1",7
"35390","CLU",7
"35391","CLUAP1",7
"35392","CLUH",7
"35404","CMKLR1",7
"35416","CMTR1",7
"35419","CNBP",7
"35423","CNGA1",7
"35427","CNIH1",7
"35431","CNKSR1",7
"35435","CNN1",7
"35437","CNN3",7
"35439","CNNM2",7
"35442","CNOT1",7
"35445","CNOT2",7
"35447","CNOT4",7
"35451","CNOT8",7
"35452","CNOT9",7
"35453","CNP",7
"35454","CNPPD1",7
"35456","CNPY3",7
"35459","CNR2",7
"35465","CNTFR",7
"35467","CNTN1",7
"35468","CNTN2",7
"35479","CNTRL",7
"35481","COA1",7
"35487","COASY",7
"35488","COBL",7
"35489","COBLL1",7
"35494","COG4",7
"35495","COG5",7
"35499","COIL",7
"35500","COL10A1",7
"35504","COL13A1",7
"35505","COL14A1",7
"35506","COL15A1",7
"35507","COL16A1",7
"35508","COL17A1",7
"35512","COL19A1",7
"35513","COL1A1",7
"35514","COL1A2",7
"35524","COL3A1",7
"35525","COL4A1",7
"35526","COL4A2",7
"35529","COL4A3",7
"35531","COL4A4",7
"35532","COL4A5",7
"35533","COL4A6",7
"35535","COL5A2",7
"35537","COL6A1",7
"35538","COL6A2",7
"35539","COL6A3",7
"35543","COL7A1",7
"35547","COL9A2",7
"35551","COLEC10",7
"35555","COLGALT2",7
"35561","COMMD4",7
"35568","COMT",7
"35570","COPA",7
"35571","COPB1",7
"35572","COPB2",7
"35573","COPE",7
"35578","COPS2",7
"35579","COPS3",7
"35583","COPS6",7
"35584","COPS7A",7
"35586","COPS8",7
"35592","COQ2",7
"35597","COQ7",7
"35600","COQ9",7
"35603","CORO1B",7
"35605","CORO2A",7
"35606","CORO2B",7
"35611","COX10",7
"35613","COX11",7
"35622","COX4I1",7
"35625","COX5B",7
"35629","COX6B1",7
"35630","COX6C",7
"35631","COX7A1",7
"35632","COX7A2",7
"35635","COX7B",7
"35637","COX7C",7
"35643","CPA3",7
"35648","CPD",7
"35649","CPE",7
"35653","CPEB3",7
"35655","CPED1",7
"35661","CPM",7
"35663","CPN2",7
"35664","CPNE1",7
"35666","CPNE3",7
"35669","CPNE6",7
"35673","CPOX",7
"35675","CPQ",7
"35676","CPS1",7
"35682","CPSF4",7
"35683","CPSF6",7
"35685","CPT1A",7
"35690","CPVL",7
"35695","CR2",7
"35701","CRABP2",7
"35704","CRADD",7
"35706","CRAT",7
"35711","CRCP",7
"35713","CREB1",7
"35714","CREB3",7
"35715","CREB3L1",7
"35716","CREB3L2",7
"35719","CREB5",7
"35720","CREBBP",7
"35721","CREBL2",7
"35723","CREBZF",7
"35724","CREG1",7
"35727","CREM",7
"35729","CRHBP",7
"35732","CRIM1",7
"35734","CRIP2",7
"35742","CRISPLD2",7
"35743","CRK",7
